2020-05-23 21-49-02 - validation - INFO - Current Car in init: <cardetails.CarDetails object at 0x76570970> None
2020-05-23 21-49-02 - facerecognition - INFO - Loading encodings... None
2020-05-23 21-49-02 - facerecognition - INFO - Starting video stream... None
2020-05-23 21-49-04 - facerecognition - INFO - Frame read None
2020-05-23 21-49-05 - facerecognition - INFO - Frame read None
2020-05-23 21-49-05 - facerecognition - INFO - Frame read None
2020-05-23 21-49-05 - facerecognition - INFO - Frame read None
2020-05-23 21-49-06 - facerecognition - INFO - Frame read None
2020-05-23 21-49-06 - facerecognition - INFO - Frame read None
2020-05-23 21-49-06 - facerecognition - INFO - Frame read None
2020-05-23 21-49-07 - facerecognition - INFO - Frame read None
2020-05-23 21-49-07 - facerecognition - INFO - Frame read None
2020-05-23 21-49-07 - facerecognition - INFO - Frame read None
2020-05-23 21-49-08 - facerecognition - INFO - Frame read None
2020-05-23 21-49-08 - facerecognition - INFO - Frame read None
2020-05-23 21-49-09 - facerecognition - INFO - Frame read None
2020-05-23 21-49-09 - facerecognition - INFO - Frame read None
2020-05-23 21-49-09 - facerecognition - INFO - Frame read None
2020-05-23 21-49-10 - facerecognition - INFO - Frame read None
2020-05-23 21-49-10 - facerecognition - INFO - Frame read None
2020-05-23 21-49-10 - facerecognition - INFO - Frame read None
2020-05-23 21-49-11 - facerecognition - INFO - Frame read None
2020-05-23 21-49-11 - facerecognition - INFO - Frame read None
2020-05-23 21-49-11 - facerecognition - INFO - Frame read None
2020-05-23 21-49-12 - facerecognition - INFO - Frame read None
2020-05-23 21-49-12 - facerecognition - INFO - Frame read None
2020-05-23 21-49-12 - facerecognition - INFO - Frame read None
2020-05-23 21-49-13 - facerecognition - INFO - Frame read None
2020-05-23 21-49-13 - facerecognition - INFO - Frame read None
2020-05-23 21-49-13 - facerecognition - INFO - Frame read None
2020-05-23 21-49-14 - facerecognition - INFO - Frame read None
2020-05-23 21-49-14 - facerecognition - INFO - Frame read None
